## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[results/bam/KI4-ATAC.sorted.bam] OUTPUT=results/bam/KI4-ATAC.markdup.bam METRICS_FILE=results/qc/picard/KI4-ATAC.markdup_metrics.txt REMOVE_DUPLICATES=false TMP_DIR=[tmp/KI4-ATAC] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Feb 22 02:35:06 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
KI4-ATAC	5617758	63012828	0	292192126	1980909	8766220	4646343	0.148229	393746903

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.073418	47572524	0	51137950
2.0	1.988093	5543790	3253432	2812540
3.0	2.767502	853270	501352	192434
4.0	3.431648	168509	94878	34096
5.0	3.997576	44504	19263	16133
6.0	4.479812	17064	4011	10414
7.0	4.890733	9054	886	7253
8.0	5.240885	6107	208	5493
9.0	5.539254	4608	65	4273
10.0	5.793499	3439	17	3274
11.0	6.010145	2815	7	2671
12.0	6.194752	2327	9	2199
13.0	6.352059	1894	5	1802
14.0	6.486102	1601	6	1563
15.0	6.600323	1366	5	1302
16.0	6.697652	1216	3	1138
17.0	6.780587	1062	4	1037
18.0	6.851257	900	2	857
19.0	6.911477	800	3	784
20.0	6.962791	737	1	711
21.0	7.006516	628	0	626
22.0	7.043775	598	0	581
23.0	7.075524	544	1	504
24.0	7.102577	456	1	418
25.0	7.12563	363	0	375
26.0	7.145274	396	3	384
27.0	7.162013	361	0	347
28.0	7.176276	327	0	305
29.0	7.18843	288	2	260
30.0	7.198787	257	0	256
31.0	7.207612	238	0	253
32.0	7.215131	249	1	249
33.0	7.221539	207	0	216
34.0	7.227	214	1	187
35.0	7.231652	171	2	164
36.0	7.235617	190	0	140
37.0	7.238995	124	2	158
38.0	7.241874	166	0	146
39.0	7.244327	161	0	164
40.0	7.246417	132	0	129
41.0	7.248198	140	0	144
42.0	7.249716	145	0	116
43.0	7.251009	104	0	115
44.0	7.252111	100	0	86
45.0	7.25305	99	0	97
46.0	7.253851	91	0	93
47.0	7.254532	94	0	85
48.0	7.255113	75	0	78
49.0	7.255609	89	1	75
50.0	7.25603	70	0	78
51.0	7.25639	73	0	77
52.0	7.256696	72	0	63
53.0	7.256957	65	0	61
54.0	7.25718	64	0	65
55.0	7.257369	55	0	49
56.0	7.257531	68	0	59
57.0	7.257668	55	0	41
58.0	7.257786	46	0	42
59.0	7.257886	35	0	42
60.0	7.257971	42	0	38
61.0	7.258043	37	0	38
62.0	7.258105	38	0	39
63.0	7.258158	39	0	38
64.0	7.258203	42	0	41
65.0	7.258241	28	0	30
66.0	7.258273	44	0	45
67.0	7.258301	36	0	24
68.0	7.258325	36	0	29
69.0	7.258345	19	0	33
70.0	7.258362	34	0	20
71.0	7.258377	27	0	26
72.0	7.258389	20	0	19
73.0	7.2584	19	0	32
74.0	7.258409	25	0	27
75.0	7.258417	26	0	22
76.0	7.258423	30	0	23
77.0	7.258429	17	0	26
78.0	7.258434	17	0	17
79.0	7.258438	28	0	20
80.0	7.258441	18	0	12
81.0	7.258444	11	0	18
82.0	7.258447	28	0	20
83.0	7.258449	15	0	12
84.0	7.258451	21	0	22
85.0	7.258452	18	0	14
86.0	7.258454	17	0	20
87.0	7.258455	20	0	24
88.0	7.258456	12	0	8
89.0	7.258457	15	0	13
90.0	7.258457	16	0	11
91.0	7.258458	17	0	18
92.0	7.258458	13	0	14
93.0	7.258459	9	0	8
94.0	7.258459	9	0	14
95.0	7.258459	10	0	9
96.0	7.25846	13	0	14
97.0	7.25846	17	0	18
98.0	7.25846	11	0	17
99.0	7.25846	13	0	4
100.0	7.25846	17	0	11
101.0	0	10	0	13
102.0	0	12	0	12
103.0	0	6	0	9
104.0	0	12	0	6
105.0	0	11	0	6
106.0	0	4	0	12
107.0	0	9	0	12
108.0	0	4	0	16
109.0	0	16	0	11
110.0	0	10	0	5
111.0	0	9	0	7
112.0	0	9	0	11
113.0	0	9	0	8
114.0	0	13	0	5
115.0	0	8	0	5
116.0	0	6	0	6
117.0	0	6	0	6
118.0	0	5	0	5
119.0	0	8	0	10
120.0	0	5	0	4
121.0	0	3	0	5
122.0	0	11	0	4
123.0	0	4	0	2
124.0	0	3	0	7
125.0	0	2	0	4
126.0	0	7	0	2
127.0	0	3	0	7
128.0	0	6	0	3
129.0	0	4	0	4
130.0	0	7	0	7
131.0	0	2	0	9
132.0	0	12	0	9
133.0	0	7	0	4
134.0	0	7	0	4
135.0	0	2	0	4
136.0	0	5	0	4
137.0	0	2	0	3
138.0	0	2	0	3
139.0	0	5	0	4
140.0	0	6	0	3
141.0	0	3	0	4
142.0	0	1	0	3
143.0	0	4	0	3
144.0	0	5	0	3
145.0	0	2	0	3
146.0	0	4	0	2
147.0	0	2	0	1
148.0	0	3	0	1
149.0	0	2	0	4
150.0	0	1	0	2
151.0	0	1	0	2
152.0	0	1	0	1
153.0	0	3	0	1
154.0	0	1	0	1
155.0	0	3	0	3
156.0	0	2	0	2
157.0	0	4	0	0
158.0	0	1	0	4
159.0	0	1	0	3
160.0	0	1	0	1
161.0	0	3	0	3
162.0	0	1	0	1
163.0	0	3	0	3
164.0	0	3	0	2
165.0	0	1	0	2
166.0	0	1	0	1
167.0	0	2	0	2
168.0	0	0	0	7
169.0	0	1	0	1
170.0	0	7	0	3
171.0	0	1	0	3
172.0	0	1	0	0
173.0	0	2	0	2
174.0	0	1	0	3
175.0	0	0	0	4
176.0	0	5	0	0
177.0	0	4	0	3
178.0	0	3	0	5
179.0	0	3	0	1
180.0	0	3	0	0
181.0	0	3	0	2
182.0	0	1	0	1
183.0	0	2	0	0
184.0	0	2	0	1
185.0	0	3	0	1
186.0	0	0	0	4
188.0	0	1	0	2
189.0	0	1	0	1
190.0	0	3	0	3
191.0	0	0	0	3
192.0	0	1	0	0
193.0	0	4	0	0
194.0	0	1	0	3
195.0	0	1	0	0
196.0	0	3	0	2
197.0	0	0	0	1
198.0	0	0	0	1
199.0	0	1	0	0
200.0	0	3	0	0
201.0	0	1	0	1
202.0	0	0	0	1
204.0	0	1	0	4
205.0	0	3	0	0
206.0	0	0	0	2
207.0	0	3	0	1
208.0	0	2	0	1
209.0	0	1	0	1
210.0	0	0	0	1
211.0	0	0	0	1
212.0	0	1	0	0
215.0	0	0	0	1
216.0	0	3	0	0
217.0	0	0	0	2
218.0	0	0	0	2
219.0	0	2	0	1
220.0	0	1	0	1
221.0	0	1	0	1
222.0	0	0	0	1
223.0	0	1	0	0
224.0	0	0	0	1
225.0	0	0	0	1
226.0	0	4	0	1
227.0	0	0	0	1
228.0	0	1	0	0
231.0	0	1	0	0
232.0	0	0	0	1
233.0	0	2	0	0
234.0	0	1	0	2
235.0	0	1	0	0
236.0	0	1	0	0
237.0	0	0	0	2
238.0	0	1	0	0
239.0	0	0	0	1
240.0	0	1	0	1
241.0	0	0	0	1
245.0	0	1	0	0
246.0	0	1	0	0
247.0	0	1	0	0
253.0	0	0	0	1
255.0	0	1	0	1
257.0	0	0	0	1
258.0	0	0	0	2
259.0	0	1	0	1
260.0	0	3	0	0
261.0	0	1	0	0
263.0	0	0	0	2
264.0	0	0	0	2
265.0	0	0	0	1
267.0	0	1	0	2
268.0	0	3	0	0
269.0	0	0	0	1
270.0	0	2	0	1
271.0	0	1	0	0
273.0	0	1	0	0
276.0	0	1	0	0
280.0	0	0	0	1
283.0	0	0	0	1
284.0	0	1	0	1
288.0	0	1	0	0
289.0	0	1	0	1
292.0	0	0	0	1
293.0	0	0	0	1
294.0	0	1	0	2
297.0	0	3	0	0
300.0	0	2	0	0
302.0	0	0	0	1
305.0	0	0	0	1
306.0	0	0	0	2
309.0	0	1	0	0
310.0	0	1	0	0
311.0	0	0	0	1
314.0	0	0	0	1
317.0	0	1	0	0
318.0	0	1	0	1
320.0	0	1	0	0
322.0	0	1	0	1
326.0	0	0	0	1
327.0	0	0	0	1
328.0	0	1	0	0
330.0	0	0	0	1
331.0	0	1	0	0
333.0	0	1	0	2
334.0	0	1	0	0
337.0	0	2	0	0
340.0	0	0	0	1
341.0	0	0	0	1
343.0	0	1	0	0
344.0	0	0	0	1
347.0	0	1	0	0
350.0	0	1	0	0
353.0	0	0	0	1
355.0	0	1	0	0
357.0	0	0	0	1
358.0	0	1	0	0
362.0	0	1	0	0
370.0	0	0	0	1
373.0	0	1	0	1
375.0	0	1	0	0
381.0	0	0	0	1
382.0	0	1	0	0
387.0	0	0	0	1
395.0	0	1	0	0
404.0	0	0	0	1
409.0	0	1	0	0
414.0	0	0	0	1
423.0	0	1	0	0
455.0	0	0	0	1
465.0	0	0	0	1
466.0	0	0	0	1
477.0	0	1	0	0
478.0	0	1	0	0
483.0	0	0	0	1
487.0	0	0	0	1
491.0	0	2	0	0
503.0	0	1	0	0
591.0	0	0	0	1
608.0	0	1	0	0
662.0	0	0	0	1
695.0	0	1	0	0
696.0	0	0	0	1
714.0	0	1	0	0
758.0	0	0	0	1
783.0	0	1	0	0
1001.0	0	0	0	1
1049.0	0	1	0	0
1564.0	0	0	0	1
1587.0	0	1	0	0

