## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[results/bam/PAZ1-ATAC.sorted.bam] OUTPUT=results/bam/PAZ1-ATAC.markdup.bam METRICS_FILE=results/qc/picard/PAZ1-ATAC.markdup_metrics.txt REMOVE_DUPLICATES=false TMP_DIR=[tmp/PAZ1-ATAC] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 18 10:54:25 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
PAZ1-ATAC	1695353	20800570	0	0	688572	2681418	1384312	0.139767	138773236

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.066095	16237328	0	17325983
2.0	1.983793	1535009	977727	672745
3.0	2.773751	238875	147760	58477
4.0	3.45375	54233	27483	18869
5.0	4.039095	18030	5417	10441
6.0	4.542963	8277	1044	6624
7.0	4.976694	5362	184	4944
8.0	5.350051	3754	50	3462
9.0	5.671438	2682	12	2552
10.0	5.948089	2185	5	2111
11.0	6.186231	1734	0	1696
12.0	6.391225	1460	1	1332
13.0	6.567684	1124	3	1127
14.0	6.719581	975	3	930
15.0	6.850335	810	1	774
16.0	6.962887	704	0	693
17.0	7.059773	605	1	590
18.0	7.143173	549	1	537
19.0	7.214964	455	0	443
20.0	7.276762	443	0	401
21.0	7.329958	395	0	390
22.0	7.375749	318	0	320
23.0	7.415166	273	0	246
24.0	7.449097	240	0	237
25.0	7.478304	229	0	221
26.0	7.503446	212	0	204
27.0	7.525088	192	0	170
28.0	7.543718	144	0	160
29.0	7.559754	161	0	159
30.0	7.573559	143	0	134
31.0	7.585441	143	0	141
32.0	7.59567	112	0	105
33.0	7.604475	127	0	136
34.0	7.612054	97	0	95
35.0	7.618579	90	0	90
36.0	7.624195	98	0	91
37.0	7.629029	92	0	83
38.0	7.633191	76	0	71
39.0	7.636773	63	0	68
40.0	7.639856	66	0	64
41.0	7.642511	69	0	67
42.0	7.644796	50	0	42
43.0	7.646762	58	0	47
44.0	7.648456	37	0	44
45.0	7.649913	45	0	50
46.0	7.651167	54	0	49
47.0	7.652247	42	0	41
48.0	7.653177	43	0	48
49.0	7.653977	46	0	37
50.0	7.654666	38	0	35
51.0	7.655259	38	0	30
52.0	7.655769	24	0	23
53.0	7.656209	18	0	20
54.0	7.656587	26	0	33
55.0	7.656912	21	0	16
56.0	7.657193	23	0	23
57.0	7.657434	29	0	27
58.0	7.657641	21	0	23
59.0	7.65782	20	0	22
60.0	7.657974	28	0	21
61.0	7.658106	21	0	18
62.0	7.65822	19	0	12
63.0	7.658319	17	0	15
64.0	7.658403	15	0	21
65.0	7.658476	15	0	22
66.0	7.658538	16	0	22
67.0	7.658592	17	0	12
68.0	7.658639	18	0	15
69.0	7.658679	11	0	16
70.0	7.658713	14	0	14
71.0	7.658743	16	0	8
72.0	7.658768	9	0	11
73.0	7.65879	10	0	8
74.0	7.658809	10	0	14
75.0	7.658825	10	0	8
76.0	7.658839	14	0	6
77.0	7.658851	7	0	20
78.0	7.658861	13	0	12
79.0	7.65887	15	0	9
80.0	7.658878	12	0	7
81.0	7.658885	11	0	8
82.0	7.65889	5	0	9
83.0	7.658895	10	0	10
84.0	7.658899	7	0	9
85.0	7.658903	13	0	9
86.0	7.658906	8	0	7
87.0	7.658909	6	0	7
88.0	7.658911	7	0	5
89.0	7.658913	5	0	8
